id,name,description,group,sector,basis,unit,source
l_gross_econ,"Economy-wide, gross","Compensation of employees / gross domestic income. The broadest, whole-economy measure; the denominator includes depreciation, production taxes and corporate income taxes. This is the ""50-50 split"" framing the Tax Foundation post criticizes.",Labor share,Economy-wide,Gross,% of income base,BEA NIPA Table 1.10
l_net_econ_std,"Economy-wide, net of depreciation","Compensation of employees / (GDI - depreciation). Removes only consumption of fixed capital, leaving production and corporate taxes in the denominator; the standard ""net national income"" convention in Rognlie (2015) and Bridgman (2018).",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10
l_net_tf,"Economy-wide, net, proprietors' income excluded","Compensation / net income, where net income excludes depreciation, production taxes and corporate income taxes, and proprietors' income is treated as neither labor nor capital. This is the Tax Foundation's own headline convention.",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10
l_net_labmax,"Economy-wide, net, all proprietors' income to labor","Same net-income denominator as the Tax Foundation convention, but all of proprietors' income is added to the numerator  -  the upper bound flagged by Gollin (2002).",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10
l_net_prop75,"Economy-wide, net, 75% of proprietors' income to labor","Same net-income denominator, with 75% of proprietors' income added to the numerator, following Smith, Yagan, Zidar and Zwick (2019), who attribute roughly three-quarters of pass-through profit to human capital.",Labor share,Economy-wide,Net,% of income base,BEA NIPA Table 1.10
l_bls_nfb,BLS official measure (nonfarm business),"BLS's own ""Labor Share"" series for the nonfarm business sector (PRS85006173): labor compensation / current-dollar output, indexed to 2017=100. Adds an imputed wage equivalent for roughly half of proprietors' income; excludes government, nonprofits and owner-occupied housing.",Labor share,Nonfarm business (BLS),Net,"Index, 2017=100",BLS PRS85006173
l_corp_gross,"Corporate business (all corporations), gross","Compensation / gross value added of corporate business (NIPA Table 1.14). Includes all corporations, financial and nonfinancial.",Labor share,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14
l_corp_net_std,"Corporate business (all corporations), net",Compensation / net value added of corporate business (gross value added less depreciation).,Labor share,Corporate (all),Net,% of income base,BEA NIPA Table 1.14
l_corp_net_extax,"Corporate business (all corporations), net of production taxes","Compensation / (compensation + net operating surplus), i.e. net value added with production taxes also removed from the denominator.",Labor share,Corporate (all),Net,% of income base,BEA NIPA Table 1.14
l_nfcorp_gross,"Nonfinancial corporate business, gross",Compensation / gross value added of nonfinancial corporate business  -  excludes the financial sector and all proprietors' income and imputed rent.,Labor share,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14
l_nfcorp_net_std,"Nonfinancial corporate business, net",Compensation / net value added of nonfinancial corporate business.,Labor share,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14
l_nfcorp_net_extax,"Nonfinancial corporate business, net of production taxes","Compensation / (compensation + net operating surplus), nonfinancial corporate business. This is the exact construction behind the deck's slide 5 and slide 16 charts.",Labor share,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14
p_all_pretax_gdi,Corporate profits (pretax) as a share of GDI,"Corporate profits with IVA & CCAdj, all corporations / gross domestic income  -  the whole-economy ""profits as a share of GDP"" framing common in press coverage.",Corporate profits,Economy-wide,Gross,% of income base,BEA NIPA Table 1.10
p_all_pretax_gross,"Corporate profit margin, pretax, gross","Corporate profits with IVA & CCAdj / gross value added, all corporations.",Corporate profits,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14
p_all_pretax_net,"Corporate profit margin, pretax, net","Corporate profits with IVA & CCAdj / net value added, all corporations.",Corporate profits,Corporate (all),Net,% of income base,BEA NIPA Table 1.14
p_all_aftertax_gross,"Corporate profit margin, after tax, gross","Corporate profits after tax with IVA & CCAdj / gross value added, all corporations.",Corporate profits,Corporate (all),Gross,% of income base,BEA NIPA Table 1.14
p_all_aftertax_net,"Corporate profit margin, after tax, net","Corporate profits after tax with IVA & CCAdj / net value added, all corporations.",Corporate profits,Corporate (all),Net,% of income base,BEA NIPA Table 1.14
p_nf_pretax_gross,"Nonfinancial corporate profit margin, pretax, gross","Corporate profits with IVA & CCAdj / gross value added, nonfinancial corporate business only. This is the exact construction behind the deck's slide 2 chart (""Corporate Profits Remain Elevated"").",Corporate profits,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14
p_nf_pretax_net,"Nonfinancial corporate profit margin, pretax, net","Corporate profits with IVA & CCAdj / net value added, nonfinancial corporate business.",Corporate profits,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14
p_nf_aftertax_gross,"Nonfinancial corporate profit margin, after tax, gross","Corporate profits after tax with IVA & CCAdj / gross value added, nonfinancial corporate business.",Corporate profits,Nonfinancial corporate,Gross,% of income base,BEA NIPA Table 1.14
p_nf_nos_net,"Nonfinancial net operating surplus, net","Net operating surplus (profits + net interest + business transfer payments  -  the broadest NIPA capital-income aggregate) / net value added, nonfinancial corporate business.",Corporate profits,Nonfinancial corporate,Net,% of income base,BEA NIPA Table 1.14
